name,brewery,year,abv,style,size,stock,purchased,drunk,ibu,collaborators,barrel_aged,barrel_type,brewed_with
Kellogg’s Choco Krispies,Rosita,2020,5.5,Blonde Ale,330,0,1,true,7.9,,false,,
Rosita Negra Amb Avellanes D' Alcover,Rosita,2020,5.2,American Brown Ale,330,0,1,true,,,false,,
Bacchus Kriekenbier,Kasteel Brouwerij Vanhonsebrouck,2020,5.8,Sour,330,0,1,true,,,false,,
Epidor,Moritz,2020,7.2,Lager,330,0,1,true,30,,false,,
4 Maltes,Les Clandestines,2020,4.6,American Pale Ale,330,0,1,true,23,,false,,
Frigola,Les Clandestines,2020,4.5,Belgian Pale,330,0,1,true,23,,false,,
Hazy State,Collective Arts Brewing,2020,4.1,Session IPA,440,0,1,true,,,false,,
Ransack the Universe,Collective Arts Brewing,2020,6.8,American IPA,440,0,1,true,85,,false,,
Not My Gumdrop Buttons!,Larkin's,2020,6.5,Brown Ale,440,0,1,true,,,false,,
Saison van de Bruwer,Brasserie de la Senne,2020,5.3,Farmhouse Saison Ale,330,0,1,true,60,,false,,
Kruidige Tripel,Koninklijke Grolsch,2020,8.3,Belgian Tripple,400,0,1,true,20,,false,,
"Buy It, Use It, Break It, Fix It!",Neon Raptor Brewing Co.,2020,6.8,New England IPA,475,0,1,true,,,false,,
Softly Spoken Magic Spells,SingleCut Beersmiths,2020,8.6,Double New England IPA,440,0,1,true,130,,false,,
Bianca Guava Lychee Passionfruit Lassi Gose,Omnipollo,2020,7,Fruited Gose,500,0,1,true,,,false,,
OBSCENE,Garage Beer co.,2020,11,Triple New England IPA,440,0,1,true,,,false,,
Big Mouth,Lervig,2020,4.6,Session IPA,330,0,1,true,,,false,,
Armchair Detective,Põhjala,2020,12,Imperial Baltic Porter,330,0,1,true,,,true,cognac,
Green City,Other Half,2020,7,American IPA,475,0,1,true,,,false,,
Shipping Out of Boston,Jack's Abby Craft Lagers,2020,5.3,Amber Lager,475,0,1,true,,,false,,
The Ocean Wide,Whiplash,2021,6.8,Brown Ale,440,0,2,true,,,false,,
Saunter,Whiplash,2021,8.3,Belgian Dubbel,440,0,2,true,,,false,,
Fakey Cake Maker,Whiplash,2021,11,Imperial Stout,440,0,2,true,,,false,,
Ratio,Whiplash,2021,6.2,IPA,440,0,3,true,,,false,,
Cream On Chrome,Whiplash,2021,8,Double IPA,440,0,3,true,,,false,,
 Ten Second Tube,Basqueland,2021,5.9,West Coast IPA,440,0,1,true,,,false,,
Spree Series,White Hag,2021,6.5,Mochaccino Milk Stout,330,0,1,true,,,false,,
Shamrock Shake,White Hag,2021,5.5,Milkshake Pale Ale,330,0,2,true,,,false,,
Quicksand Double,Hopfully,2021,6.6,Dry Hopped New England IPA,440,0,1,true,,,false,,
Double Barrel Aged Leann Folláin (Edition Vol. 10),O'hara's,2021,12,Imperial Stout,375,2,2,false,,,true,"Bourbon, Sheey & Whiskey",
"India Pale Ale (Mosaic, HBC 431)",The Kernel Brewery,2021,6.8,IPA,330,0,1,true,,,false,,
Sis 6 Years,Garage Beer co.,2021,8,Double IPA,440,0,1,true,,,false,,
Right,Garage Beer co.,2021,6.6,Hazy IPA,440,0,1,true,,,false,,
Aporia,Garage Beer co.,2021,8,Coffee Export Stout,440,1,1,false,,,false,,
Grain & Hustle Multi-grain,Basqueland,2021,5.9,West Coast IPA,440,0,1,true,,,false,,
Pintxo Pintxo,Basqueland,2021,7.8,Double IPA,440,0,1,true,,,false,,
Digital Symphony,Basqueland,2021,8,Double New England IPA,440,0,1,true,,Fuerst Wiacek,false,,
Voodoo Logic,Trouble Brewing,2021,10,Imperial Maple Stout,440,1,1,false,,,false,,
Nitro Stout,O'hara's,2021,4.3,Stout,440,0,1,true,,,false,,
Betty's Dry-Hopped New Zealand Lager,Rascal,2021,4.5,Helles Lager,440,0,1,true,,,false,,
You Asked For This,Boundary,2021,4.5,American Pale Ale,440,0,0,true,,,false,,
Double Nelson,Boundary,2021,8,Double IPA,440,0,0,true,,,false,,
Bruce's Hazy New Zealand IPA,Rascal,2021,6.2,IPA,440,0,0,true,,,false,,
Dragons Fuel,To Øl,2021,7.2,New England IPA,440,0,0,true,,,false,,
Drone Logic,Whiplash,2021,8,Double IPA,440,1,2,true,80,,false,,
Breaking Glass,Whiplash,2021,7,American IPA,440,1,2,true,,,false,,
